"Date","Source","Site ID","POC","Daily Mean Pb Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/24/2023","AQS","060070008","7","0.00192","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/05/2023","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/19/2023","AQS","060070008","7","0.00269","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"03/02/2023","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"03/13/2023","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"03/25/2023","AQS","060070008","7","0.00135","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"04/12/2023","AQS","060070008","7","0.00135","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"04/18/2023","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"04/30/2023","AQS","060070008","7","0.00295","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"05/14/2023","AQS","060070008","7","0.00166","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"05/25/2023","AQS","060070008","7","0.00236","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/02/2023","AQS","060070008","7","0.00162","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/05/2023","AQS","060070008","7","0.00237","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/17/2023","AQS","060070008","7","0.00246","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/29/2023","AQS","060070008","7","0.00216","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"07/11/2023","AQS","060070008","7","0.00191","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"07/25/2023","AQS","060070008","7","0.00289","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/06/2023","AQS","060070008","7","0.00201","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/17/2023","AQS","060070008","7","0.00215","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/30/2023","AQS","060070008","7","0.00201","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"09/11/2023","AQS","060070008","7","0.00226","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"09/21/2023","AQS","060070008","7","0.00143","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/03/2023","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/15/2023","AQS","060070008","7","0.00256","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/29/2023","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"11/08/2023","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"11/20/2023","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"12/03/2023","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"12/14/2023","AQS","060070008","7","0.00307","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"12/26/2023","AQS","060070008","7","0.00184","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/12/2023","AQS","060190011","7","0.00453","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/24/2023","AQS","060190011","7","0.0033","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/05/2023","AQS","060190011","7","0.00065","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/17/2023","AQS","060190011","7","0.00265","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/01/2023","AQS","060190011","7","0.00065","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/13/2023","AQS","060190011","7","0.00065","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/25/2023","AQS","060190011","7","0.00179","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/06/2023","AQS","060190011","7","0.00478","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/18/2023","AQS","060190011","7","0.0013","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/30/2023","AQS","060190011","7","0.00211","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/12/2023","AQS","060190011","7","0.00309","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/24/2023","AQS","060190011","7","0.0052","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/05/2023","AQS","060190011","7","0.00377","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/17/2023","AQS","060190011","7","0.00363","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/29/2023","AQS","060190011","7","0.00315","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/18/2023","AQS","060190011","7","0.00338","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/23/2023","AQS","060190011","7","0.00467","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/04/2023","AQS","060190011","7","0.00243","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/16/2023","AQS","060190011","7","0.00372","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/28/2023","AQS","060190011","7","0.00309","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/21/2023","AQS","060190011","7","0.00443","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"10/27/2023","AQS","060190011","7","0.00397","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"11/08/2023","AQS","060190011","7","0.00248","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"12/02/2023","AQS","060190011","7","0.00651","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"12/26/2023","AQS","060190011","7","0.00623","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","305","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
