Age,Gender,Area,Frequency,Year,Rate
15-24,Male,North,Annual,2004,10.1
15-24,Male,North,Annual,2005,10.6
15-24,Male,North,Annual,2006,9.8
15-24,Male,North,Annual,2007,9.8
15-24,Male,North,Annual,2008,10.1
15-24,Male,North,Annual,2009,15.5
15-24,Male,North,Annual,2010,18.3
15-24,Male,North,Annual,2011,18
15-24,Male,North,Annual,2012,23.9
15-24,Male,North,Annual,2013,28.4
15-24,Male,North,Annual,2014,29.2
15-24,Male,North,Annual,2015,27.4
15-24,Male,North,Annual,2016,24.1
15-24,Male,North,Annual,2017,19.7
15-24,Male,North,Annual,2018,20.2
15-24,Male,North,Annual,2019,17
15-24,Male,North,Annual,2020,18
15-24,Male,North,Annual,2021,18.8
15-24,Male,North,Annual,2022,15.4
15-24,Male,North,Annual,2023,15
15-24,Male,North-west,Annual,2004,11.5
15-24,Male,North-west,Annual,2005,11.7
15-24,Male,North-west,Annual,2006,11.2
15-24,Male,North-west,Annual,2007,11.8
15-24,Male,North-west,Annual,2008,11.6
15-24,Male,North-west,Annual,2009,18
15-24,Male,North-west,Annual,2010,19.9
15-24,Male,North-west,Annual,2011,19.5
15-24,Male,North-west,Annual,2012,26.3
15-24,Male,North-west,Annual,2013,32
15-24,Male,North-west,Annual,2014,33.9
15-24,Male,North-west,Annual,2015,31.8
15-24,Male,North-west,Annual,2016,28.1
15-24,Male,North-west,Annual,2017,22.6
15-24,Male,North-west,Annual,2018,23.5
15-24,Male,North-west,Annual,2019,18.3
15-24,Male,North-west,Annual,2020,20
15-24,Male,North-west,Annual,2021,21.1
15-24,Male,North-west,Annual,2022,17.4
15-24,Male,North-west,Annual,2023,16.8
15-24,Male,North-east,Annual,2004,8
15-24,Male,North-east,Annual,2005,9
15-24,Male,North-east,Annual,2006,7.8
15-24,Male,North-east,Annual,2007,7.1
15-24,Male,North-east,Annual,2008,8
15-24,Male,North-east,Annual,2009,12.1
15-24,Male,North-east,Annual,2010,16.2
15-24,Male,North-east,Annual,2011,16
15-24,Male,North-east,Annual,2012,20.7
15-24,Male,North-east,Annual,2013,23.2
15-24,Male,North-east,Annual,2014,22.9
15-24,Male,North-east,Annual,2015,21.3
15-24,Male,North-east,Annual,2016,18.8
15-24,Male,North-east,Annual,2017,16.1
15-24,Male,North-east,Annual,2018,15.7
15-24,Male,North-east,Annual,2019,15.5
15-24,Male,North-east,Annual,2020,15.6
15-24,Male,North-east,Annual,2021,15.9
15-24,Male,North-east,Annual,2022,12.8
15-24,Male,North-east,Annual,2023,12.8
15-24,Male,Center,Annual,2004,17.6
15-24,Male,Center,Annual,2005,19.4
15-24,Male,Center,Annual,2006,17
15-24,Male,Center,Annual,2007,16
15-24,Male,Center,Annual,2008,16.1
15-24,Male,Center,Annual,2009,20.9
15-24,Male,Center,Annual,2010,24.8
15-24,Male,Center,Annual,2011,26.1
15-24,Male,Center,Annual,2012,31.5
15-24,Male,Center,Annual,2013,36.2
15-24,Male,Center,Annual,2014,40.4
15-24,Male,Center,Annual,2015,37
15-24,Male,Center,Annual,2016,34.8
15-24,Male,Center,Annual,2017,31.4
15-24,Male,Center,Annual,2018,28.2
15-24,Male,Center,Annual,2019,25.7
15-24,Male,Center,Annual,2020,30.9
15-24,Male,Center,Annual,2021,29.6
15-24,Male,Center,Annual,2022,21.3
15-24,Male,Center,Annual,2023,17.6
15-24,Male,South,Annual,2004,33.7
15-24,Male,South,Annual,2005,35.3
15-24,Male,South,Annual,2006,31.6
15-24,Male,South,Annual,2007,29.5
15-24,Male,South,Annual,2008,30.7
15-24,Male,South,Annual,2009,34.4
15-24,Male,South,Annual,2010,38.7
15-24,Male,South,Annual,2011,38.8
15-24,Male,South,Annual,2012,46.6
15-24,Male,South,Annual,2013,52.3
15-24,Male,South,Annual,2014,55.7
15-24,Male,South,Annual,2015,52.3
15-24,Male,South,Annual,2016,50.8
15-24,Male,South,Annual,2017,49.5
15-24,Male,South,Annual,2018,46
15-24,Male,South,Annual,2019,44.1
15-24,Male,South,Annual,2020,42.1
15-24,Male,South,Annual,2021,39.4
15-24,Male,South,Annual,2022,34.1
15-24,Male,South,Annual,2023,33.1
15-24,Female,North,Annual,2004,15.2
15-24,Female,North,Annual,2005,16
15-24,Female,North,Annual,2006,14.7
15-24,Female,North,Annual,2007,13.9
15-24,Female,North,Annual,2008,14.9
15-24,Female,North,Annual,2009,19.5
15-24,Female,North,Annual,2010,21.7
15-24,Female,North,Annual,2011,23.3
15-24,Female,North,Annual,2012,27.5
15-24,Female,North,Annual,2013,31.1
15-24,Female,North,Annual,2014,33.1
15-24,Female,North,Annual,2015,32.3
15-24,Female,North,Annual,2016,28.5
15-24,Female,North,Annual,2017,25.4
15-24,Female,North,Annual,2018,24.8
15-24,Female,North,Annual,2019,22.4
15-24,Female,North,Annual,2020,25.2
15-24,Female,North,Annual,2021,24.5
15-24,Female,North,Annual,2022,17.8
15-24,Female,North,Annual,2023,17.2
15-24,Female,North-west,Annual,2004,15.7
15-24,Female,North-west,Annual,2005,16.6
15-24,Female,North-west,Annual,2006,15
15-24,Female,North-west,Annual,2007,14.9
15-24,Female,North-west,Annual,2008,16.4
15-24,Female,North-west,Annual,2009,20.9
15-24,Female,North-west,Annual,2010,22.2
15-24,Female,North-west,Annual,2011,25.2
15-24,Female,North-west,Annual,2012,28.7
15-24,Female,North-west,Annual,2013,31.8
15-24,Female,North-west,Annual,2014,33.9
15-24,Female,North-west,Annual,2015,32.7
15-24,Female,North-west,Annual,2016,30.8
15-24,Female,North-west,Annual,2017,27.3
15-24,Female,North-west,Annual,2018,26
15-24,Female,North-west,Annual,2019,24.5
15-24,Female,North-west,Annual,2020,24.4
15-24,Female,North-west,Annual,2021,24.9
15-24,Female,North-west,Annual,2022,19
15-24,Female,North-west,Annual,2023,17.3
15-24,Female,North-east,Annual,2004,14.6
15-24,Female,North-east,Annual,2005,15.1
15-24,Female,North-east,Annual,2006,14.2
15-24,Female,North-east,Annual,2007,12.6
15-24,Female,North-east,Annual,2008,12.9
15-24,Female,North-east,Annual,2009,17.6
15-24,Female,North-east,Annual,2010,21.1
15-24,Female,North-east,Annual,2011,21.1
15-24,Female,North-east,Annual,2012,25.8
15-24,Female,North-east,Annual,2013,30.1
15-24,Female,North-east,Annual,2014,31.9
15-24,Female,North-east,Annual,2015,31.8
15-24,Female,North-east,Annual,2016,25.5
15-24,Female,North-east,Annual,2017,23
15-24,Female,North-east,Annual,2018,23.4
15-24,Female,North-east,Annual,2019,19.8
15-24,Female,North-east,Annual,2020,26.3
15-24,Female,North-east,Annual,2021,23.9
15-24,Female,North-east,Annual,2022,16.2
15-24,Female,North-east,Annual,2023,17
15-24,Female,Center,Annual,2004,25.6
15-24,Female,Center,Annual,2005,25.8
15-24,Female,Center,Annual,2006,25.9
15-24,Female,Center,Annual,2007,22
15-24,Female,Center,Annual,2008,24.5
15-24,Female,Center,Annual,2009,30.5
15-24,Female,Center,Annual,2010,29.7
15-24,Female,Center,Annual,2011,31.8
15-24,Female,Center,Annual,2012,38.7
15-24,Female,Center,Annual,2013,41.8
15-24,Female,Center,Annual,2014,44.7
15-24,Female,Center,Annual,2015,38.8
15-24,Female,Center,Annual,2016,37.2
15-24,Female,Center,Annual,2017,34
15-24,Female,Center,Annual,2018,30.6
15-24,Female,Center,Annual,2019,27.8
15-24,Female,Center,Annual,2020,29.4
15-24,Female,Center,Annual,2021,28.9
15-24,Female,Center,Annual,2022,24.5
15-24,Female,Center,Annual,2023,22.4
15-24,Female,South,Annual,2004,44.9
15-24,Female,South,Annual,2005,45.4
15-24,Female,South,Annual,2006,40.5
15-24,Female,South,Annual,2007,38.6
15-24,Female,South,Annual,2008,38.9
15-24,Female,South,Annual,2009,41.2
15-24,Female,South,Annual,2010,40.6
15-24,Female,South,Annual,2011,45.4
15-24,Female,South,Annual,2012,50.9
15-24,Female,South,Annual,2013,55.3
15-24,Female,South,Annual,2014,60.1
15-24,Female,South,Annual,2015,58.7
15-24,Female,South,Annual,2016,55.8
15-24,Female,South,Annual,2017,56.3
15-24,Female,South,Annual,2018,52.3
15-24,Female,South,Annual,2019,48.1
15-24,Female,South,Annual,2020,47.3
15-24,Female,South,Annual,2021,49.4
15-24,Female,South,Annual,2022,41.8
15-24,Female,South,Annual,2023,42.8
